Prompt,URL,Label
"Create a realistic digital painting of the Assyrian king Tiglath-Pileser III based on an ancient relief, featuring him with a long, full beard, a moustache, and carefully curled hair, wearing a high crown adorned with rosettes and bands, an earring, a four-fold bracelet with a central rosette, holding a staff in his right hand, with fringed garments detailed with concentric squares and rosettes, and an inscription in cuneiform script, set against a neutral textured background.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Tilglath_pileser_iii.jpg/1200px-Tilglath_pileser_iii.jpg,Stone Relief
"Create a realistic, high-resolution digital painting of Venus and Mars in the style of an ancient Roman fresco from the Casa di Marte e Venere in Pompeii, featuring detailed textures and vibrant colors, while retaining the original composition and elements.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Pompeii_-_Casa_di_Marte_e_Venere_-_MAN.jpg/1200px-Pompeii_-_Casa_di_Marte_e_Venere_-_MAN.jpg,Frescoe
"Create a photo-realistic image of the ancient ruins of Pompeii showing the bakery and the House of P. Aemilius Gallicus with enhanced details and improved clarity in lighting, keeping the historical accuracy of the structures, while incorporating a modern touch in image quality and resolution.",https://upload.wikimedia.org/wikipedia/commons/4/4c/Another_view_of_a_bakery_in_Region_VIII_Pompeii_Walk_%2851813493084%29.jpg,Ruins
"Create a highly detailed aerial image of the ancient Pompeii amphitheater and palestra with updated archeological features, lush green surroundings, clear skies, and visible pathways, in high resolution.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Pompeya.Anfiteatro_y_palestra_retouched.jpg/1200px-Pompeya.Anfiteatro_y_palestra_retouched.jpg,Architecture
"High-resolution image of the Odeon in Pompeii, Italy, portraying the ancient Roman theater with detailed stonework and clear blue sky, updated to show its current state of preservation.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Pompeii_2021_-_04_%28Odeon%29.jpg/1280px-Pompeii_2021_-_04_%28Odeon%29.jpg,Architecture 2
"Create a realistic and detailed painting of Shah Alam II holding court in the Public Audience Hall, depicting the ruler Alam Bahador Badshah surrounded by great commanders in the Royal Chamber, circa 1780, inside a magnificent room with Mughal architecture, lavishly decorated and illuminated, showcasing the grandeur and opulence of the time with enhanced depth perception for zoom capabilities.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Shah_%27Alam_conveying_the_grant_of_the_Diwani_to_Lord_Clive.jpg/1200px-Shah_%27Alam_conveying_the_grant_of_the_Diwani_to_Lord_Clive.jpg,Painting
"Create a realistic digital painting of William Fullerton, an 18th-century English surgeon and mayor of Calcutta, dressed in period attire sitting on an ornate carpet receiving an Indian visitor, with Indian servants holding fly-whisks, surrounded by traditional Indian artifacts, in a style reminiscent of Company paintings from colonial India. Include a brass hookah on the carpet, a detailed red and gold border, and make sure the characters adopt postures and expressions that reflect a respectful cross-cultural interaction, set against a plain blue background.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Portrait_of_East_India_Company_official.jpg/1200px-Portrait_of_East_India_Company_official.jpg,Unrealistic Painting
"A high-resolution historical painting depicting Mughal Emperor Shah Alam II handing over a scroll to Robert Clive, representing the transfer of tax collecting rights in Bengal, Bihar, and Orissa to the East India Company, with enhanced details and vivid colors, set under an ornate canopy with attendees from both the Mughal court and the British East India Company, capturing the pivotal moment of the Treaty of Allahabad in August 1765.",https://upload.wikimedia.org/wikipedia/commons/a/a5/Mir_Jafar_and_his_son_Miran_delivering_the_Treaty_of_1757_to_William_Watts.jpg,B&W Painting
"Create an updated and realistic illustration depicting the historical event of Philip and a fellow-servant standing on a beach beside the body of Pompey, with a makeshift funeral pyre made from the wreck of a fishing boat, while in the background, a crowd of spectators react with shock and sorrow.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Death_of_Pompey_Magnus.jpg/1200px-Death_of_Pompey_Magnus.jpg,Etching
"Realistic digital illustration of a gold aureus from Rome, 71 BC featuring the head of Africa with an elephant's skin headdress, a jug, and a lituus on the obverse, and Pompey in a triumphal quadriga with a rider and a flying Victory on the reverse, surrounded by a laurel wreath border and the inscription MAGNVS and PRO COS, updated for clarity and detail, keeping the 8 o'clock die-axis and weight of 8.94 grams.",https://upload.wikimedia.org/wikipedia/commons/d/d5/Pompey%2C_aureus%2C_71_BC%2C_RRC_402-1.png,Coins
"Create a photorealistic 3D digital rendering of an ancient Roman marble bust of Pompey the Great, with fine details and textures, in high resolution and studio lighting.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/%28Venice%29_Pompey_the_Great%2C_Museo_Archeologico_Nazionale.jpg/1200px-%28Venice%29_Pompey_the_Great%2C_Museo_Archeologico_Nazionale.jpg,Bust
"Create a realistic portrait of the king of Pontus Mithridates VI depicted as Heracles, carved in white marble with intricate details highlighting the classical Roman imperial style of the 1st century, placed on a museum display stand with soft lighting to accentuate the features and craftsmanship.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Mithridates_VI_Louvre.jpg/1200px-Mithridates_VI_Louvre.jpg,Bust2
"Generate an image of a restored Roman statue of Pompey, with intricate details, showcased inside an ornate alcove of Villa Arconati in Castellazzo di Bollate, including a plaque with historical inscription, maintaining the sculpture's cultural and historical significance.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/PompeoMagno.jpg/1200px-PompeoMagno.jpg,Statue
